iteration,rc,elapsed_s,query_index,dataset,method,method_params
0,3.415128,1.0564215183258057,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
1,3.148035,1.5087976455688477,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
2,2.824113,1.7174286842346191,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
3,2.496148,1.9397172927856443,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
4,2.2452252,2.160659074783325,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
5,2.039093,2.3809731006622314,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
6,1.876121,2.601109981536865,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
7,1.747716,2.8230209350585938,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
8,1.6418765,3.0401203632354736,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
9,1.5616089,3.2606701850891118,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
10,1.5046163,3.483184099197388,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
11,1.4503621,3.703967571258545,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
12,1.4174489,3.926265239715576,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
13,1.39805,4.15185284614563,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
14,1.3907675,4.375404357910156,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
15,1.3790419,4.598445653915405,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
16,1.3720345,4.821355104446411,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
17,1.3659132,5.047067403793335,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
18,1.3532543,5.271979570388794,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
19,1.3439045,5.579249143600464,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
20,1.3339769,5.7908935546875,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
21,1.3247131,6.008304595947266,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
22,1.3145579,6.247018814086914,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
23,1.3063629,6.467651605606079,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
24,1.2994131,6.690609931945801,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
25,1.2926232,6.912190437316895,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
26,1.2837336,7.134421348571777,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
27,1.2755914,7.37098217010498,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
28,1.2668667,7.638817071914673,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
29,1.2584599,7.875795602798462,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
30,1.250702,8.098057985305786,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
31,1.2426735,8.319138050079346,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
32,1.2346312,8.540307760238647,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
33,1.2267774,8.760782718658447,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
34,1.2187903,8.982714176177979,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
35,1.2120866,9.205608367919922,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
36,1.2054801,9.426088571548462,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
37,1.2001917,9.650207757949827,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
