,dataset,measure,distcomp_correlation
0,astro-256-100m,lid_10,0.19655176775759306
1,astro-256-100m,rc_10,-0.4370468035527511
2,astro-256-100m,exp_20|10,-0.34750404181779443
4,astro-256-100m,eps_q0.25,0.4298291994354468
5,astro-256-100m,eps_q0.5,0.39516004799057325
6,astro-256-100m,eps_q0.75,0.38956260598328896
7,deep1b-96-100m,lid_10,0.27189179266595154
8,deep1b-96-100m,rc_10,-0.42041914027059746
9,deep1b-96-100m,exp_20|10,-0.29380422718504323
11,deep1b-96-100m,eps_q0.25,0.44192485804363063
12,deep1b-96-100m,eps_q0.5,0.40670186076045717
13,deep1b-96-100m,eps_q0.75,0.3386247792030379
14,fashion_mnist-euclidean-784-60K,lid_10,0.21839907818237697
15,fashion_mnist-euclidean-784-60K,rc_10,-0.23096683449119196
16,fashion_mnist-euclidean-784-60K,exp_20|10,-0.2742192368473339
18,fashion_mnist-euclidean-784-60K,eps_q0.25,0.29108398083437004
19,fashion_mnist-euclidean-784-60K,eps_q0.5,0.22313059571589447
20,fashion_mnist-euclidean-784-60K,eps_q0.75,0.1930102216806078
21,glove-angular-104-1183514,lid_10,0.24687798394970228
22,glove-angular-104-1183514,rc_10,-0.5388610271087625
23,glove-angular-104-1183514,exp_20|10,-0.35627019438965335
25,glove-angular-104-1183514,eps_q0.25,0.3900234231655796
26,glove-angular-104-1183514,eps_q0.5,0.39761764338485595
27,glove-angular-104-1183514,eps_q0.75,0.36200966556959485
28,nytimes-angular-256-289761,lid_10,0.064708790964507
29,nytimes-angular-256-289761,rc_10,-0.46105170626988085
30,nytimes-angular-256-289761,exp_20|10,-0.24788668999983027
32,nytimes-angular-256-289761,eps_q0.25,0.036013630783658775
33,nytimes-angular-256-289761,eps_q0.5,0.03601702291514395
34,nytimes-angular-256-289761,eps_q0.75,0.036009841642568596
35,sald-128-100m,lid_10,0.35583005057552874
36,sald-128-100m,rc_10,-0.49598985002470214
37,sald-128-100m,exp_20|10,-0.3928319289917403
39,sald-128-100m,eps_q0.25,0.41567198834695734
40,sald-128-100m,eps_q0.5,0.3846909880564738
41,sald-128-100m,eps_q0.75,0.3366731843116956
42,seismic-256-100m,lid_10,-0.01911541701837001
43,seismic-256-100m,rc_10,-0.6010328559606718
44,seismic-256-100m,exp_20|10,-0.1767739739667873
46,seismic-256-100m,eps_q0.25,0.4717531586851201
47,seismic-256-100m,eps_q0.5,0.487206426831693
48,seismic-256-100m,eps_q0.75,0.423317462414413
