i,lid_1,rc_1,exp_2|1,distcomp,dataset,workload_description,eps_0.05,eps_0.1,eps_0.5,eps_1
0,1.662563674467148,3.4234464,1.5429264,0.0022086768724324,glove-angular-104-1183514,"Empirical(messi,0.1,0.2)",8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07
1,1.523528896821998,3.7256699,1.1128311,0.0017371995599545,glove-angular-104-1183514,"Empirical(messi,0.1,0.2)",8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07
2,1.4434811323003074,2.785985,1.4991182,0.0022306453493579,glove-angular-104-1183514,"Empirical(messi,0.1,0.2)",8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07
3,1.8065098554035453,3.5705884,1.5435951,0.0019627989191509,glove-angular-104-1183514,"Empirical(messi,0.1,0.2)",8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07
4,1.5029974006730569,1.9843193,1.0191841,0.0114421967125019,glove-angular-104-1183514,"Empirical(messi,0.1,0.2)",8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07
5,1.6212354859401643,2.9179046,1.099822,0.0017600129783002,glove-angular-104-1183514,"Empirical(messi,0.1,0.2)",8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07
6,1.0489710031433712,2.0332031,1.0532721,0.0207771095229967,glove-angular-104-1183514,"Empirical(messi,0.1,0.2)",8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07
7,4.099005954378776,4.847393,1.5601537,0.0017084715516673,glove-angular-104-1183514,"Empirical(messi,0.1,0.2)",8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07,1.6898828404226736e-06
8,2.062740587983538,3.8933892,1.0775471,0.0016772087191195,glove-angular-104-1183514,"Empirical(messi,0.1,0.2)",8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07
9,1.007089030338279,2.0037324,1.0339336,0.0028939243642238,glove-angular-104-1183514,"Empirical(messi,0.1,0.2)",8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07
0,6.437414105206835,1.5771548,1.0298297,0.1697580256760798,glove-angular-104-1183514,"Empirical(faiss_ivf,0.1,0.2)",8.449414202113368e-07,8.449414202113368e-07,2.872800828718545e-05,0.1767811787608765
1,327.39484835900373,1.3002359,1.0076033,0.1805149748967904,glove-angular-104-1183514,"Empirical(faiss_ivf,0.1,0.2)",5.830095799458224e-05,0.0013535961551785,0.9934702927046068,1.0
