i,lid_1,rc_1,exp_2|1,distcomp,dataset,workload_description,eps_0.05,eps_0.1,eps_0.5,eps_1
0,20323032.0,1.0028975,1.0002034,0.001064,text2image-ip-208-10M,"Empirical(messi,0.1,0.2)",1.0,1.0,1.0,1.0
1,486785.75,1.0158713,1.0026315,0.0013294,text2image-ip-208-10M,"Empirical(messi,0.1,0.2)",1.0,1.0,1.0,1.0
2,548601.9,1.0099815,1.0005282,0.0009348,text2image-ip-208-10M,"Empirical(messi,0.1,0.2)",1.0,1.0,1.0,1.0
3,643146.8,1.0100535,1.0005729,0.0008058,text2image-ip-208-10M,"Empirical(messi,0.1,0.2)",1.0,1.0,1.0,1.0
4,7614701.0,1.0081319,1.000419,0.0008322,text2image-ip-208-10M,"Empirical(messi,0.1,0.2)",1.0,1.0,1.0,1.0
5,10395088.0,1.0047102,1.0004898,0.0008096,text2image-ip-208-10M,"Empirical(messi,0.1,0.2)",1.0,1.0,1.0,1.0
6,4597252.5,1.0240966,1.0002118,0.0010548,text2image-ip-208-10M,"Empirical(messi,0.1,0.2)",1.0,1.0,1.0,1.0
7,2417950.5,1.0057725,1.0010855,0.0010214,text2image-ip-208-10M,"Empirical(messi,0.1,0.2)",1.0,1.0,1.0,1.0
8,47021.605,1.0199987,1.001307,0.0007398,text2image-ip-208-10M,"Empirical(messi,0.1,0.2)",1.0,1.0,1.0,1.0
9,502840.72,1.0068852,1.0002679,0.0007916,text2image-ip-208-10M,"Empirical(messi,0.1,0.2)",1.0,1.0,1.0,1.0
