i,lid_1,rc_1,exp_2|1,distcomp,dataset,workload_description,eps_0.05,eps_0.1,eps_0.5,eps_1,lid_10,rc_10,exp_20|10
0,10.05234,1.7031853,1.0435098,0.1513094,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",2e-07,2e-07,0.0001162,0.2895392,,,
1,557.92285,1.3673339,1.0049953,0.1167892,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",2.2e-05,0.0004586,0.9035472,1.0,,,
2,13.986126,1.5346634,1.0049989,0.1687424,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",2e-07,2e-07,0.0170822,0.9637958,,,
3,44.979454,1.3018115,1.0007648,0.1010242,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",1e-06,0.000102,0.946444,1.0,,,
4,5.784761,1.5448565,1.0266765,0.1317416,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",2e-07,2e-07,3.6e-06,0.122538,,,
5,5.0847397,1.4545312,1.0019609,0.1266446,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",2e-07,2e-07,1e-06,0.155751,,,
6,3.5335906,1.6293831,1.009861,0.1094478,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",2e-07,2e-07,2e-07,3.48e-05,,,
7,5.351193,1.5096916,1.0023811,0.1381422,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",2e-07,2e-07,4e-06,0.0977602,,,
8,52.977146,1.4388989,1.00135,0.1093664,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",8e-07,1.62e-05,0.5209086,0.999999,,,
9,10.826983,1.6490142,1.0072227,0.1010204,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",2e-07,2e-07,0.0013898,0.544657,,,
0,3395.807,1.0768042,1.0020894,0.071846,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",0.0664656,0.877315,1.0,1.0,,,
1,261.9135,1.1411184,1.0018725,0.226562,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",0.0010676,0.1064746,1.0,1.0,,,
2,169.75003,1.4098972,1.0009286,0.6126368,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",1.8e-05,0.0002194,0.7744892,1.0,,,
3,17.328455,1.3442774,1.000611,0.0735926,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",2e-07,2e-07,0.4832658,0.9999996,,,
4,12.462403,1.4154315,1.0005774,0.531393,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",2e-07,2e-07,0.0807522,0.9974696,,,
5,8.126747,1.4260947,1.0148659,0.275881,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",2e-07,2e-07,0.0032896,0.9016694,,,
6,12.269841,1.412549,1.0120258,0.8170028,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",2e-07,2e-07,0.0680676,0.9983906,,,
7,13.078392,1.4091042,1.008466,0.6302816,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",2e-07,2e-07,0.1063904,0.9973496,,,
8,1816.7869,1.1970568,1.0032799,0.0899132,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",0.0003932,0.0272356,0.999916,1.0,,,
9,2076.2039,1.1311185,1.0006185,0.551567,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",0.0040568,0.2057374,1.0,1.0,,,
0,,,,0.001444,text2image-angular-200-10M,"Annealing(rc, easy)",1e-06,3.4e-06,0.0003758,0.0034224,32.03334,3.4888384,1.0315998
1,,,,0.0013556,text2image-angular-200-10M,"Annealing(rc, easy)",1.6e-06,2.6e-06,5.88e-05,0.0008226,36.40613,3.0439575,1.0779514
2,,,,0.0022026,text2image-angular-200-10M,"Annealing(rc, easy)",2e-07,2e-07,2e-07,2e-07,8.244098,4.967079,1.064333
3,,,,0.0011084,text2image-angular-200-10M,"Annealing(rc, easy)",2e-07,2e-07,2e-07,2e-07,5.6789465,4.00108,1.0776324
4,,,,0.0011708,text2image-angular-200-10M,"Annealing(rc, easy)",2e-07,2e-07,2.4e-06,7.8e-06,12.887752,5.407828,1.2245871
5,,,,0.0009666,text2image-angular-200-10M,"Annealing(rc, easy)",2e-07,2e-07,1.2e-06,3.84e-05,14.549617,6.3359437,1.0341388
6,,,,0.0016022,text2image-angular-200-10M,"Annealing(rc, easy)",2e-07,2e-07,2e-07,2e-07,6.8758683,4.2235456,1.1932161
7,,,,0.001693,text2image-angular-200-10M,"Annealing(rc, easy)",2e-07,2e-07,5.8e-06,9.18e-05,18.947205,4.0519433,1.0971013
8,,,,0.0009726,text2image-angular-200-10M,"Annealing(rc, easy)",2e-07,4e-07,5.3e-05,0.0003372,24.119337,3.2637436,1.0303986
9,,,,0.0009744,text2image-angular-200-10M,"Annealing(rc, easy)",4e-07,4e-07,2.2e-06,3.24e-05,9.609106,4.043017,1.1145744
0,,,,0.005216,text2image-angular-200-10M,"Annealing(rc, medium)",2e-07,2e-07,2e-07,2e-07,6.0290656,4.6991014,1.1198375
1,,,,0.0012826,text2image-angular-200-10M,"Annealing(rc, medium)",2e-07,2e-07,2e-07,2e-07,8.169207,4.616465,1.0840716
2,,,,0.0016928,text2image-angular-200-10M,"Annealing(rc, medium)",2e-07,4e-07,9.94e-05,0.0007586,27.325874,4.3471236,1.0734926
3,,,,0.0025536,text2image-angular-200-10M,"Annealing(rc, medium)",4e-07,1.8e-06,0.000457,0.0154644,39.189583,2.6613324,1.0310328
4,,,,0.0011708,text2image-angular-200-10M,"Annealing(rc, medium)",4e-07,4e-07,2.6e-06,1.32e-05,10.186179,4.49405,1.1507142
5,,,,0.0009666,text2image-angular-200-10M,"Annealing(rc, medium)",2e-07,4e-07,5.46e-05,0.0001174,27.72499,4.514874,1.0228966
6,,,,0.0016022,text2image-angular-200-10M,"Annealing(rc, medium)",2e-07,2e-07,2e-07,2.4e-06,13.356998,3.3374484,1.106948
7,,,,0.001693,text2image-angular-200-10M,"Annealing(rc, medium)",2e-07,2e-07,2e-07,2e-07,3.551548,4.5932965,1.0829196
8,,,,0.0008164,text2image-angular-200-10M,"Annealing(rc, medium)",2e-07,2e-07,5e-06,4.5e-05,21.352938,3.082376,1.1102431
9,,,,0.002195,text2image-angular-200-10M,"Annealing(rc, medium)",2e-07,2e-07,2.6e-06,0.0002056,16.45693,2.6492438,1.0604587
0,,,,0.0018178,text2image-angular-200-10M,"Annealing(rc, hard)",4.2e-06,1.5e-05,0.0005982,0.0078004,114.502884,2.8048718,1.020729
1,,,,0.0017092,text2image-angular-200-10M,"Annealing(rc, hard)",2e-07,2e-07,2e-07,2e-06,8.763739,2.7505782,1.0890375
2,,,,0.0026084,text2image-angular-200-10M,"Annealing(rc, hard)",2e-07,2e-07,2e-07,5.92e-05,14.697242,2.9996586,1.0364481
3,,,,0.0028504,text2image-angular-200-10M,"Annealing(rc, hard)",2e-07,1.4e-06,0.0003526,0.0112882,28.353138,2.7251208,1.0728625
4,,,,0.0011708,text2image-angular-200-10M,"Annealing(rc, hard)",2e-07,2e-07,4.2e-06,0.0001078,11.317113,2.722541,1.0337992
5,,,,0.0009666,text2image-angular-200-10M,"Annealing(rc, hard)",2.8e-06,9.8e-06,0.000117,0.0014212,85.60528,2.7633898,1.0205164
6,,,,0.0013008,text2image-angular-200-10M,"Annealing(rc, hard)",1.2e-06,3e-06,0.0002688,0.0025846,36.347042,2.7224653,1.038554
7,,,,0.0027612,text2image-angular-200-10M,"Annealing(rc, hard)",2.2e-06,3.4e-06,0.0001354,0.0028514,73.733116,2.7353497,1.0733966
8,,,,0.0038214,text2image-angular-200-10M,"Annealing(rc, hard)",2e-07,2e-07,2e-07,2e-07,22.76766,2.8856635,1.0769334
9,,,,0.001707,text2image-angular-200-10M,"Annealing(rc, hard)",2e-07,2e-07,5.4e-05,0.0021518,19.175507,2.7250896,1.034091
0,,,,0.001719,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,2e-07,2e-07,6e-07,5.4856772,6.491771,1.1580399
1,,,,0.0008298,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,2e-07,4e-07,8e-07,4.385335,6.6997647,1.0903507
2,,,,0.0010426,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,2e-07,2e-07,2e-07,3.9101565,6.2832217,1.0933535
3,,,,0.0015174,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,4e-07,2.2e-06,5.2e-06,7.2451553,6.85425,1.1947198
4,,,,0.0012064,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,2e-07,2e-07,2e-07,3.1746776,6.901742,1.0825756
5,,,,0.0013112,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,2e-07,2e-07,4e-07,3.1178176,6.6675205,1.0874434
6,,,,0.0016974,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,2e-07,2e-07,2e-07,3.7823453,6.371264,1.1212163
7,,,,0.0012018,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,2e-07,2e-07,2e-07,3.046991,6.692492,1.1764833
8,,,,0.0008052,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,2e-07,6e-07,8.2e-06,6.271986,6.7111773,1.0315437
9,,,,0.000951,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,2e-07,2e-07,4e-07,4.8062477,6.4344063,1.0904512
0,,,,0.0010482,text2image-angular-200-10M,"SGD(rc, medium)",2e-07,2e-07,2e-07,2e-07,4.3865533,4.8970404,1.1256245
