,dataset,measure,distcomp_correlation
0,text2image-angular-200-10M,lid_1,0.19080459770114944
1,text2image-angular-200-10M,rc_1,-0.42528735632183906
2,text2image-angular-200-10M,exp_2|1,-0.3517241379310345
4,text2image-angular-200-10M,eps_0.05,0.19101864256798626
5,text2image-angular-200-10M,eps_0.1,0.21695451703870883
6,text2image-angular-200-10M,eps_0.5,0.3777893209283087
7,text2image-angular-200-10M,eps_1,0.3739362896832473
8,text2image-angular-200-10M,lid_10,0.19922981078604923
9,text2image-angular-200-10M,rc_10,-0.42310313426717827
10,text2image-angular-200-10M,exp_20|10,-0.22529194142572426
11,text2image-euclidean-200-10M,lid_1,0.36551724137931035
12,text2image-euclidean-200-10M,rc_1,-0.6045977011494253
13,text2image-euclidean-200-10M,exp_2|1,-0.5264367816091954
15,text2image-euclidean-200-10M,eps_0.05,0.2427427114856743
16,text2image-euclidean-200-10M,eps_0.1,0.3301979937260981
17,text2image-euclidean-200-10M,eps_0.5,0.39811552118021976
18,text2image-euclidean-200-10M,eps_1,0.2982164813893246
19,text2image-euclidean-200-10M,lid_10,0.22130672488799114
20,text2image-euclidean-200-10M,rc_10,-0.43038647051741874
21,text2image-euclidean-200-10M,exp_20|10,-0.27318241132854115
