,dataset,workload,query_index,index_name,index_params,time_s,distcomp,recall,k
0,glove-angular-104-1183514,"Annealing(rc, easy)",1,dstree,,,1.0,1.0,10
1,glove-angular-104-1183514,"Annealing(rc, easy)",2,dstree,,,1.0,1.0,10
2,glove-angular-104-1183514,"Annealing(rc, easy)",3,dstree,,,1.000384448346196,1.0,10
3,glove-angular-104-1183514,"Annealing(rc, easy)",4,dstree,,,1.0,1.0,10
4,glove-angular-104-1183514,"Annealing(rc, easy)",5,dstree,,,1.0,1.0,10
5,glove-angular-104-1183514,"Annealing(rc, easy)",6,dstree,,,1.0,1.0,10
6,glove-angular-104-1183514,"Annealing(rc, easy)",7,dstree,,,1.0,1.0,10
7,glove-angular-104-1183514,"Annealing(rc, easy)",8,dstree,,,1.0,1.0,10
8,glove-angular-104-1183514,"Annealing(rc, easy)",9,dstree,,,1.0,1.0,10
9,glove-angular-104-1183514,"Annealing(rc, easy)",10,dstree,,,1.0,1.0,10
0,glove-angular-104-1183514,"Annealing(rc, medium)",1,dstree,,,1.0,1.0,10
1,glove-angular-104-1183514,"Annealing(rc, medium)",2,dstree,,,1.0,1.0,10
2,glove-angular-104-1183514,"Annealing(rc, medium)",3,dstree,,,1.0,1.0,10
3,glove-angular-104-1183514,"Annealing(rc, medium)",4,dstree,,,1.0,1.0,10
4,glove-angular-104-1183514,"Annealing(rc, medium)",5,dstree,,,1.0,1.0,10
5,glove-angular-104-1183514,"Annealing(rc, medium)",6,dstree,,,1.0,1.0,10
6,glove-angular-104-1183514,"Annealing(rc, medium)",7,dstree,,,1.0,1.0,10
7,glove-angular-104-1183514,"Annealing(rc, medium)",8,dstree,,,1.0,1.0,10
8,glove-angular-104-1183514,"Annealing(rc, medium)",9,dstree,,,1.0,1.0,10
9,glove-angular-104-1183514,"Annealing(rc, medium)",10,dstree,,,1.0,1.0,10
0,glove-angular-104-1183514,"Annealing(rc, hard)",1,dstree,,,1.0,1.0,10
1,glove-angular-104-1183514,"Annealing(rc, hard)",2,dstree,,,1.0,1.0,10
2,glove-angular-104-1183514,"Annealing(rc, hard)",3,dstree,,,1.0,1.0,10
3,glove-angular-104-1183514,"Annealing(rc, hard)",4,dstree,,,1.0,1.0,10
4,glove-angular-104-1183514,"Annealing(rc, hard)",5,dstree,,,1.0,1.0,10
5,glove-angular-104-1183514,"Annealing(rc, hard)",6,dstree,,,1.0,1.0,10
6,glove-angular-104-1183514,"Annealing(rc, hard)",7,dstree,,,1.0,1.0,10
7,glove-angular-104-1183514,"Annealing(rc, hard)",8,dstree,,,1.0,1.0,10
8,glove-angular-104-1183514,"Annealing(rc, hard)",9,dstree,,,1.0,1.0,10
9,glove-angular-104-1183514,"Annealing(rc, hard)",10,dstree,,,1.0,1.0,10
0,glove-angular-104-1183514,"Annealing(rc, easy)",1,dstree,,,1.0,1.0,1
1,glove-angular-104-1183514,"Annealing(rc, easy)",2,dstree,,,0.0012961401386041,1.0,1
2,glove-angular-104-1183514,"Annealing(rc, easy)",3,dstree,,,1.0,1.0,1
3,glove-angular-104-1183514,"Annealing(rc, easy)",4,dstree,,,1.0,1.0,1
4,glove-angular-104-1183514,"Annealing(rc, easy)",5,dstree,,,1.0,1.0,1
5,glove-angular-104-1183514,"Annealing(rc, easy)",6,dstree,,,1.0,1.0,1
6,glove-angular-104-1183514,"Annealing(rc, easy)",7,dstree,,,1.0,1.0,1
7,glove-angular-104-1183514,"Annealing(rc, easy)",8,dstree,,,1.0,1.0,1
8,glove-angular-104-1183514,"Annealing(rc, easy)",9,dstree,,,1.0,1.0,1
9,glove-angular-104-1183514,"Annealing(rc, easy)",10,dstree,,,1.0,1.0,1
0,glove-angular-104-1183514,"Annealing(rc, medium)",1,dstree,,,0.691816066392117,1.0,1
