iteration,rc,elapsed_s,query_index,dataset,method,method_params
0,1.3351971,20.909090042114258,9793506,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0428584,40.44123721122742,9793506,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.4323678,18.71333122253418,9766996,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0419848,37.36545133590698,9766996,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.2628206,21.566800832748413,9879404,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0273106,40.02672576904297,9879404,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.1861606,19.284947633743286,3801956,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0297331,36.928088665008545,3801956,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.6126606,15.93204116821289,1713598,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0370582,32.74393177032471,1713598,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.8809543,16.55758833885193,9232461,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0289606,33.92572999000549,9232461,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.2834741,20.990193605422974,1048926,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0276399,38.620436668395996,1048926,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.4457574,18.838500499725342,2616923,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0368253,37.49083065986633,2616923,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.2802045,20.305948734283447,1387804,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0282083,37.04993772506714,1387804,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.622305,19.867398738861084,3190970,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0374937,35.30119514465332,3190970,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
