iteration,rc,elapsed_s,query_index,dataset,method,method_params
0,1.3161443,24.368953943252563,9793506,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0436372,45.19420552253723,9793506,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,11.671278,18.04724383354187,9766996,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0709822,39.20791578292847,9766996,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
2,1.0411993,60.941898345947266,9766996,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.872712,22.276468992233276,9879404,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0776964,41.87566256523132,9879404,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
2,1.0455364,61.84976291656494,9879404,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.8565505,19.3942711353302,3801956,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0432172,36.644742250442505,3801956,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.3276365,20.905545234680176,1713598,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0662172,41.111743450164795,1713598,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
2,1.0378072,61.41521644592285,1713598,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.4593346,18.722195625305176,9232461,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0588212,39.907979011535645,9232461,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.4886825,18.738120794296265,1048926,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0496601,38.70291185379028,1048926,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.1930015,19.159183502197266,2616923,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0584939,38.02930808067322,2616923,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.0353625,18.74133825302124,1387804,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.046018,36.92272090911865,1387804,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.3640887,18.164228916168213,3190970,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0426766,37.54701471328735,3190970,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
