iteration,rc,elapsed_s,query_index,dataset,method,method_params
0,1.9299098,20.482628345489502,14690260,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0541141,41.488231897354126,14690260,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.7733965,19.072924375534058,14650495,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0510528,39.19832372665405,14650495,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.1714146,19.435210466384888,14819107,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0446687,39.24205446243286,14819107,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.027546,19.496033668518066,5702935,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0412169,39.22372031211853,5702935,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.8070606,19.23243546485901,2570397,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0508189,38.77834606170654,2570397,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.4493022,19.63572907447815,13848692,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0546496,39.35299348831177,13848692,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.3254015,19.489294052124023,1573389,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0450598,40.88836669921875,1573389,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.3026927,19.07222008705139,3925386,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0518379,39.058926582336426,3925386,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.8310442,20.12182354927063,2081707,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0515871,39.64695763587952,2081707,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.318488,19.80467987060547,4786455,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0492017,39.49259901046753,4786455,/mnt/hddhelp/workgen_data/deep1b-96-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
