iteration,rc,elapsed_s,query_index,dataset,data_limit,method,method_params
0,3.2614498,20.51321840286255,14690260,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0721674,41.91731667518616,14690260,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
2,1.0414963,64.11620306968689,14690260,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.1263576,21.565335273742676,14650495,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0515168,41.74400019645691,14650495,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,3.4893668,20.241769552230835,14819107,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0622604,40.723947048187256,14819107,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.2517214,21.462761163711548,5702935,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0672164,43.06469464302063,5702935,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.1879265,21.046473503112793,2570397,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0606171,42.43635058403015,2570397,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.0992825,21.159468173980713,13848692,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0571364,43.36209487915039,13848692,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,6.2709136,22.222995042800903,1573389,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.064043,44.51930236816406,1573389,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.8281717,21.87291955947876,3925386,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0556216,42.6060688495636,3925386,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.3481488,22.064136743545532,2081707,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0730996,44.28266453742981,2081707,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
2,1.0417157,67.19980311393738,2081707,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,6.898223,22.4030020236969,4786455,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0412993,44.16772794723511,4786455,/mnt/hddhelp/workgen_data/sald-128-100m.bin,15000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
