iteration,rc,elapsed_s,query_index,dataset,method,method_params
0,2.986003,8.135104894638062,4896752,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.05358,14.21329140663147,4896752,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.0980434,5.935450792312622,4883497,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0624167,11.642513513565063,4883497,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,4.808057,5.855801343917847,4939701,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0527706,11.136903047561646,4939701,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,3.3158302,5.437604188919067,1900978,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0595255,11.040917158126831,1900978,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.9074765,5.6576690673828125,856798,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0665516,10.789871454238892,856798,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.8174418,5.6114137172698975,4616230,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.079581,10.839916229248047,4616230,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
2,1.0447253,16.41354465484619,4616230,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.2734008,6.52880859375,524463,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0704099,12.172155618667603,524463,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
2,1.0407633,17.805312395095825,524463,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.3184805,5.843538999557495,1308461,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0691805,12.362224817276001,1308461,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
2,1.0395498,18.41655993461609,1308461,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.8364381,6.142667770385742,693902,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0683608,11.988479852676392,693902,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,10.816555,5.6972949504852295,1595484,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0611718,10.607823371887207,1595484,/mnt/hddhelp/workgen_data/sald-128-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
