i,lid_10,rc_10,exp_20|10,distcomp,dataset,workload_description,eps_q0.25,eps_q0.5,eps_q0.75
0,8.513488492935371,3.3584738,1.101024,0.0166,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0009666666666666667,0.03626666666666667,0.2509
1,35.198405528771765,2.441754,1.0247735,0.01705,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.18391666666666667,0.9683833333333334,1.0
2,10.550952899197839,4.599665,1.0914408,0.013083333333333334,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0038166666666666666,0.04085,0.10696666666666667
3,22.37965012927611,3.9214146,1.0613216,0.015766666666666665,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.03453333333333333,0.18376666666666666,0.49773333333333336
4,16.634935881141697,2.194189,1.0593601,0.020383333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.16778333333333334,0.9887,1.0
5,19.823536735001436,3.531855,1.1490151,0.0056,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.010633333333333333,0.28951666666666664,0.7957666666666666
6,21.051057113404955,2.223796,1.0487697,0.031266666666666665,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.29488333333333333,0.9189,0.9999833333333333
7,90.70909995858358,2.0963793,1.0197842,0.01165,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.5363166666666667,0.9993666666666666,1.0
8,9.90157282898362,3.7319705,1.074777,0.0125,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0028166666666666665,0.07603333333333333,0.2617333333333333
9,17.460035116975064,3.3254194,1.0389603,0.025283333333333335,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.06793333333333333,0.35495,0.7326666666666667
10,11.39013054040998,2.6245713,1.1014348,0.031466666666666664,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0471,0.5180333333333333,0.9993666666666666
11,28.729451250836746,2.2502923,1.0297623,0.024966666666666668,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.39411666666666667,0.9210833333333334,1.0
12,37.57973013162317,2.4503872,1.0462488,0.06233333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.2816,0.8338,0.9999333333333333
13,12.002461244536196,3.4845972,1.0541197,0.025616666666666666,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.01235,0.14086666666666667,0.4615666666666667
14,24.573239219262074,3.09152,1.0363594,0.014283333333333334,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.07798333333333334,0.41481666666666667,0.9467166666666667
15,15.69067391821131,3.7961216,1.0442307,0.007516666666666666,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.007833333333333333,0.10208333333333333,0.28628333333333333
16,14.155401444860633,2.1037498,1.0125777,0.02165,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.11806666666666667,0.8516833333333333,0.9999166666666667
17,50.429058603382245,1.7279555,1.0316561,0.023916666666666666,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.9955166666666667,1.0,1.0
18,13.165607422017679,2.4728997,1.0558618,0.007983333333333334,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.012583333333333334,0.4148833333333333,0.99315
19,11.686146344861212,3.5087597,1.0694174,0.021933333333333332,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.021133333333333334,0.15355,0.5525666666666667
20,20.37632747447071,2.1503704,1.0513134,0.024616666666666665,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.25935,1.0,1.0
21,11.256582637563774,2.8751333,1.0348716,0.014433333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.007366666666666666,0.143,0.4049333333333333
22,17.13713318703654,3.9013743,1.0445004,0.0098,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0118,0.122,0.32571666666666665
23,37.808139891614935,2.0257099,1.0303042,0.0473,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.45043333333333335,0.9995333333333334,1.0
24,8.832136201141562,4.7653685,1.0920995,0.01395,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.004483333333333333,0.052116666666666665,0.14328333333333335
25,28.35854791450641,2.3666782,1.0276288,0.04346666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.27623333333333333,0.8984,0.9998833333333333
26,20.836946475456127,2.7830076,1.0614932,0.025633333333333334,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.11318333333333333,0.52275,0.9998666666666667
27,9.341562912791673,3.6580236,1.1075658,0.00885,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.00395,0.09586666666666667,0.3485333333333333
28,19.30965434712483,2.5875056,1.0186234,0.027333333333333334,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.08828333333333334,0.6216833333333334,0.9977
29,19.645690399053173,2.6516864,1.0539339,0.030583333333333334,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.13698333333333335,0.6265166666666667,0.9996833333333334
30,25.149793864342602,2.3829904,1.0403303,0.009466666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0415,0.9901166666666666,1.0
31,24.420043637329833,2.1496267,1.0443844,0.011233333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.21111666666666667,0.9685166666666667,1.0
32,30.112005618098525,2.3997402,1.023435,0.011333333333333334,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.2897,0.8996666666666666,0.9999666666666667
33,19.836163377449555,2.1500244,1.0329239,0.022916666666666665,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.14991666666666667,0.814,1.0
34,13.538391023359837,2.379351,1.0427758,0.014066666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.02265,0.7254833333333334,0.9994666666666666
35,31.281068939861413,2.9880147,1.0312734,0.014633333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.10851666666666666,0.5645,0.933
36,12.153523058449194,2.2783756,1.0187609,0.042866666666666664,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.12683333333333333,0.6579166666666667,0.9933833333333333
37,12.963585022544633,4.008941,1.0281407,0.01685,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.01415,0.15741666666666668,0.3715333333333333
38,16.379130175163652,2.9933643,1.030738,0.0144,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.051366666666666665,0.2977166666666667,0.84925
39,25.98502860228445,3.1843169,1.024011,0.026216666666666666,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.04733333333333333,0.25201666666666667,0.9327833333333333
40,18.067296526113623,3.6850114,1.1003635,0.00885,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0176,0.19695,0.6135666666666667
41,14.878831322097675,4.222912,1.1089749,0.015283333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0058,0.04306666666666667,0.14661666666666667
42,23.289317909034935,2.8114192,1.0854176,0.015383333333333334,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.06275,0.5523333333333333,0.9946666666666667
43,34.63692079266735,2.8470304,1.0391827,0.0206,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0962,0.6795,0.9999833333333333
44,16.47233700185851,3.2039433,1.0376153,0.02266666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.06981666666666667,0.32848333333333335,0.7491833333333333
45,11.9981585641169,2.373001,1.0143174,0.05115,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.006533333333333334,0.32413333333333333,0.64495
46,8.07581622031969,2.7714217,1.0281968,0.02625,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.053766666666666664,0.3787333333333333,0.87975
47,23.05365398528196,3.0835547,1.0220459,0.018266666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.08651666666666667,0.37011666666666665,0.9052666666666667
