i,lid_10,rc_10,exp_20|10,distcomp,dataset,workload_description,eps_q0.25,eps_q0.5,eps_q0.75
0,15.580037425985074,2.4914014,1.0348871,0.0049964,sald-128-100m,File(sald-128-1k),0.0065336,0.3958086,0.9998758
1,23.627833541189837,2.3385568,1.0410156,0.011625,sald-128-100m,File(sald-128-1k),0.0313102,0.5184176,0.996355
2,25.1574700046764,2.4191787,1.0281992,0.0061092,sald-128-100m,File(sald-128-1k),0.0508654,0.6504082,1.0
3,23.470553893591106,1.936316,1.0378096,0.0017466,sald-128-100m,File(sald-128-1k),0.0977474,0.9999914,1.0
4,109.71458194508322,1.6729825,1.0210611,0.0200048,sald-128-100m,File(sald-128-1k),0.8228296,1.0,1.0
5,18.012370065028243,2.7946522,1.0380931,0.0022886,sald-128-100m,File(sald-128-1k),0.0011954,0.1467674,0.8158098
6,31.10231423572314,2.184587,1.0343856,0.0024628,sald-128-100m,File(sald-128-1k),0.0323722,0.995377,1.0
7,59.69233068207492,1.7821038,1.0078725,0.0132356,sald-128-100m,File(sald-128-1k),0.5321424,1.0,1.0
8,64.36609030831914,1.6268257,1.0116103,0.0137212,sald-128-100m,File(sald-128-1k),0.8281118,1.0,1.0
9,21.892001545434628,1.731998,1.0145143,0.0046302,sald-128-100m,File(sald-128-1k),0.1142074,0.9999924,1.0
10,32.66202240811685,3.6752648,1.0579976,0.0022748,sald-128-100m,File(sald-128-1k),0.0042642,0.0689058,0.3562638
11,29.78517737371155,2.8082426,1.0334369,0.0026654,sald-128-100m,File(sald-128-1k),0.0039432,0.1905484,0.8047422
12,28.889563302757463,2.845799,1.0455422,0.0044176,sald-128-100m,File(sald-128-1k),0.0131956,0.3789188,0.8629818
13,29.95875742244726,8.286775,1.0456952,0.0024614,sald-128-100m,File(sald-128-1k),0.000458,0.0028048,0.0079116
14,43.84879847233168,2.547691,1.035684,0.001554,sald-128-100m,File(sald-128-1k),0.0218692,0.5797976,0.9999656
15,20.65284195480957,2.1015325,1.0320373,0.008879,sald-128-100m,File(sald-128-1k),0.0427556,0.8732426,1.0
16,26.796843087436557,2.5342762,1.0282154,0.011928,sald-128-100m,File(sald-128-1k),0.02761,0.6040498,0.999743
17,45.39580913230002,2.4366815,1.0119036,0.0012018,sald-128-100m,File(sald-128-1k),0.0295344,0.7779914,1.0
18,28.72481186974565,2.6843028,1.0110039,0.0053538,sald-128-100m,File(sald-128-1k),0.0189444,0.3117262,0.9964014
19,18.78829646535515,1.8300273,1.024656,0.0929052,sald-128-100m,File(sald-128-1k),0.0788692,1.0,1.0
20,106.08463303136283,1.2412175,1.0070554,0.3244476,sald-128-100m,File(sald-128-1k),1.0,1.0,1.0
21,104.84173226339111,1.4072491,1.0093443,0.0541554,sald-128-100m,File(sald-128-1k),1.0,1.0,1.0
22,12.704629278283747,2.422197,1.018566,0.01625,sald-128-100m,File(sald-128-1k),6e-05,0.0376684,0.3568644
23,36.94648177414182,1.6745654,1.0150706,0.0055168,sald-128-100m,File(sald-128-1k),0.8442208,1.0,1.0
24,21.84687978623487,2.1443124,1.0139008,0.0079882,sald-128-100m,File(sald-128-1k),0.0490086,0.787545,1.0
25,13.45830205753376,2.9404674,1.0340394,0.0015984,sald-128-100m,File(sald-128-1k),0.0006788,0.0620764,0.4417884
26,37.279866692967694,3.578621,1.0466448,0.0146588,sald-128-100m,File(sald-128-1k),0.0185336,0.1787004,0.4646194
27,14.617022112449199,2.3583698,1.0315223,0.0033306,sald-128-100m,File(sald-128-1k),0.0124736,0.5038184,0.9995358
28,67.94341919464226,1.8475207,1.0105624,0.0135284,sald-128-100m,File(sald-128-1k),0.4467846,1.0,1.0
29,91.11054015637816,2.2698517,1.0248659,0.0071992,sald-128-100m,File(sald-128-1k),0.14591,0.980331,1.0
30,47.66882106961266,1.7219877,1.0240626,0.088412,sald-128-100m,File(sald-128-1k),0.7554536,1.0,1.0
31,18.681467203158782,3.9687421,1.0335397,0.0029608,sald-128-100m,File(sald-128-1k),0.0048084,0.0519596,0.1925104
32,28.876436208560396,1.9358933,1.0228407,0.0118118,sald-128-100m,File(sald-128-1k),0.2854612,0.9999998,1.0
33,83.47245501439119,1.2637688,1.0061158,0.095822,sald-128-100m,File(sald-128-1k),1.0,1.0,1.0
