i,lid_10,rc_10,exp_20|10,distcomp,dataset,workload_description,eps_q0.25,eps_q0.5,eps_q0.75
0,31.150623352159368,2.2748184,1.0331554,0.006169,sald-128-1m,File(sald-128-1k),0.010785,0.50475,0.99998
1,16.925869759233617,2.1448283,1.0275327,0.097827,sald-128-1m,File(sald-128-1k),0.056096,0.604111,0.999614
2,17.729549056929866,2.245165,1.0189749,0.02081,sald-128-1m,File(sald-128-1k),0.036873,0.525243,0.999181
3,13.117242889086958,1.7867293,1.0432613,0.020108,sald-128-1m,File(sald-128-1k),0.038691,0.986856,1.0
4,46.623389926016856,1.5971851,1.0136596,0.103166,sald-128-1m,File(sald-128-1k),0.731675,1.0,1.0
5,18.759629628462527,2.5385718,1.0470091,0.00477,sald-128-1m,File(sald-128-1k),0.001502,0.150713,0.800711
6,19.04559089210035,2.064501,1.0418117,0.012232,sald-128-1m,File(sald-128-1k),0.014702,0.918399,1.0
7,61.09165782398757,1.7359787,1.0066724,0.030718,sald-128-1m,File(sald-128-1k),0.451018,1.0,1.0
8,43.52420512929362,1.5963906,1.0154063,0.014962,sald-128-1m,File(sald-128-1k),0.684723,1.0,1.0
9,60.090657588730075,1.648345,1.0120679,0.011383,sald-128-1m,File(sald-128-1k),0.71657,1.0,1.0
10,19.408216807393803,3.2227452,1.0383369,0.002629,sald-128-1m,File(sald-128-1k),0.00343,0.053376,0.26882
11,20.40431708382792,2.5756252,1.047626,0.008441,sald-128-1m,File(sald-128-1k),0.012335,0.322401,0.918063
12,18.33676084371443,2.590364,1.039144,0.005203,sald-128-1m,File(sald-128-1k),0.010631,0.322511,0.7845
13,14.988346003827868,7.42671,1.0912733,0.003069,sald-128-1m,File(sald-128-1k),0.000343,0.002114,0.005856
14,30.83520428162169,2.27873,1.036144,0.005134,sald-128-1m,File(sald-128-1k),0.040995,0.674615,1.0
15,20.67677260649442,1.9778439,1.0361739,0.034783,sald-128-1m,File(sald-128-1k),0.069627,0.906911,1.0
16,30.32990535492683,2.3600554,1.0263373,0.004752,sald-128-1m,File(sald-128-1k),0.026798,0.551854,0.992395
17,30.847775283685994,2.2852943,1.029019,0.003827,sald-128-1m,File(sald-128-1k),0.03345,0.754272,0.999763
