dataset,workload,query_index,index_name,target_recall,index_params,time_s,distcomp,recall
sald-128-100m,File(sald-128-1k),0,faiss_hnsw,0.95,"{""efSearch"": 2, ""index_params"": ""HNSW32""}",0.01997077465057373,4.44e-05,1.0
sald-128-100m,File(sald-128-1k),1,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.013302850723266601,0.0001652,1.0
sald-128-100m,File(sald-128-1k),2,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.017300868034362794,0.0001454,1.0
sald-128-100m,File(sald-128-1k),3,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.015584278106689452,0.0001886,1.0
sald-128-100m,File(sald-128-1k),4,faiss_hnsw,0.95,"{""efSearch"": 8192, ""index_params"": ""HNSW32""}",0.1859743595123291,0.0180318,1.0
sald-128-100m,File(sald-128-1k),5,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.013247013092041016,0.000101,1.0
sald-128-100m,File(sald-128-1k),6,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.013797807693481445,0.0003994,1.0
sald-128-100m,File(sald-128-1k),7,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.012843775749206542,0.0004626,1.0
sald-128-100m,File(sald-128-1k),8,faiss_hnsw,0.95,"{""efSearch"": 128, ""index_params"": ""HNSW32""}",0.01293807029724121,0.0008976,1.0
sald-128-100m,File(sald-128-1k),9,faiss_hnsw,0.95,"{""efSearch"": 8192, ""index_params"": ""HNSW32""}",0.19467828273773194,0.018554,1.0
sald-128-100m,File(sald-128-1k),10,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.018748712539672852,0.0001004,1.0
sald-128-100m,File(sald-128-1k),11,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.013053107261657714,0.0001416,1.0
sald-128-100m,File(sald-128-1k),12,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.014919662475585937,0.0001654,1.0
sald-128-100m,File(sald-128-1k),13,faiss_hnsw,0.95,"{""efSearch"": 2, ""index_params"": ""HNSW32""}",0.04405038356781006,4.24e-05,1.0
sald-128-100m,File(sald-128-1k),14,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.03781163692474365,0.0001916,1.0
sald-128-100m,File(sald-128-1k),15,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.03369894027709961,0.0003958,1.0
sald-128-100m,File(sald-128-1k),16,faiss_hnsw,0.95,"{""efSearch"": 128, ""index_params"": ""HNSW32""}",0.021141982078552245,0.0006726,1.0
sald-128-100m,File(sald-128-1k),17,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.045395946502685545,0.000216,1.0
sald-128-100m,File(sald-128-1k),18,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.020617079734802247,0.0002202,1.0
sald-128-100m,File(sald-128-1k),19,faiss_hnsw,0.95,"{""efSearch"": 4, ""index_params"": ""HNSW32""}",0.03683273792266846,0.0001186,1.0
sald-128-100m,File(sald-128-1k),20,faiss_hnsw,0.95,"{""efSearch"": 32768, ""index_params"": ""HNSW32""}",3.3773852586746216,0.1050126,1.0
sald-128-100m,File(sald-128-1k),21,faiss_hnsw,0.95,"{""efSearch"": 256, ""index_params"": ""HNSW32""}",0.02214338779449463,0.001809,1.0
sald-128-100m,File(sald-128-1k),22,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.03375442028045654,0.0001128,1.0
sald-128-100m,File(sald-128-1k),23,faiss_hnsw,0.95,"{""efSearch"": 128, ""index_params"": ""HNSW32""}",0.016812944412231447,0.0007712,1.0
sald-128-100m,File(sald-128-1k),24,faiss_hnsw,0.95,"{""efSearch"": 128, ""index_params"": ""HNSW32""}",0.0368189811706543,0.0008374,1.0
sald-128-100m,File(sald-128-1k),25,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.01564319133758545,5.62e-05,1.0
sald-128-100m,File(sald-128-1k),26,faiss_hnsw,0.95,"{""efSearch"": 128, ""index_params"": ""HNSW32""}",0.0460665225982666,0.0008364,1.0
sald-128-100m,File(sald-128-1k),27,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.03413691520690918,0.000218,1.0
sald-128-100m,File(sald-128-1k),28,faiss_hnsw,0.95,"{""efSearch"": 4096, ""index_params"": ""HNSW32""}",0.147202205657959,0.0115034,1.0
