dataset,workload,query_index,index_name,target_recall,index_params,time_s,distcomp,recall
sald-128-1m,File(sald-128-1k),0,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.010779905319213866,0.000286,1.0
sald-128-1m,File(sald-128-1k),1,faiss_hnsw,0.95,"{""efSearch"": 256, ""index_params"": ""HNSW32""}",0.010091423988342285,0.005173,1.0
sald-128-1m,File(sald-128-1k),2,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.010390090942382812,0.000693,1.0
sald-128-1m,File(sald-128-1k),3,faiss_hnsw,0.95,"{""efSearch"": 1, ""index_params"": ""HNSW32""}",0.009873366355895996,0.000192,1.0
sald-128-1m,File(sald-128-1k),4,faiss_hnsw,0.95,"{""efSearch"": 1024, ""index_params"": ""HNSW32""}",0.014849662780761719,0.014398,1.0
sald-128-1m,File(sald-128-1k),5,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.011232399940490722,0.000424,1.0
sald-128-1m,File(sald-128-1k),6,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.011339306831359863,0.000606,1.0
sald-128-1m,File(sald-128-1k),7,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.01729574203491211,0.001853,1.0
sald-128-1m,File(sald-128-1k),8,faiss_hnsw,0.95,"{""efSearch"": 256, ""index_params"": ""HNSW32""}",0.020091438293457033,0.006535,1.0
sald-128-1m,File(sald-128-1k),9,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.022580337524414063,0.000746,1.0
sald-128-1m,File(sald-128-1k),10,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.023499894142150878,0.000771,1.0
sald-128-1m,File(sald-128-1k),11,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.017842483520507813,0.000537,1.0
sald-128-1m,File(sald-128-1k),12,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.021275138854980467,0.000358,1.0
sald-128-1m,File(sald-128-1k),13,faiss_hnsw,0.95,"{""efSearch"": 4, ""index_params"": ""HNSW32""}",0.024561262130737303,0.000129,1.0
sald-128-1m,File(sald-128-1k),14,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.016137456893920897,0.001004,1.0
sald-128-1m,File(sald-128-1k),15,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.025954508781433107,0.001883,1.0
sald-128-1m,File(sald-128-1k),16,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.01880342960357666,0.00048,1.0
sald-128-1m,File(sald-128-1k),17,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.014686012268066406,0.000614,1.0
sald-128-1m,File(sald-128-1k),18,faiss_hnsw,0.95,"{""efSearch"": 256, ""index_params"": ""HNSW32""}",0.027892589569091797,0.00364,1.0
sald-128-1m,File(sald-128-1k),19,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.02538344860076904,0.002647,1.0
sald-128-1m,File(sald-128-1k),20,faiss_hnsw,0.95,"{""efSearch"": 16384, ""index_params"": ""HNSW32""}",0.8233894586563111,0.220363,1.0
sald-128-1m,File(sald-128-1k),21,faiss_hnsw,0.95,"{""efSearch"": 256, ""index_params"": ""HNSW32""}",0.023098039627075195,0.007561,1.0
sald-128-1m,File(sald-128-1k),22,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.009194040298461914,0.001004,1.0
sald-128-1m,File(sald-128-1k),23,faiss_hnsw,0.95,"{""efSearch"": 128, ""index_params"": ""HNSW32""}",0.007965517044067384,0.003551,1.0
sald-128-1m,File(sald-128-1k),24,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.008708977699279785,0.001361,1.0
sald-128-1m,File(sald-128-1k),25,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.008755064010620118,0.000425,1.0
sald-128-1m,File(sald-128-1k),26,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.0069833040237426754,0.002106,1.0
sald-128-1m,File(sald-128-1k),27,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.008982324600219726,0.000513,1.0
sald-128-1m,File(sald-128-1k),28,faiss_hnsw,0.95,"{""efSearch"": 128, ""index_params"": ""HNSW32""}",0.002522110939025879,0.003821,1.0
sald-128-1m,File(sald-128-1k),29,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.0004341602325439453,0.001201,1.0
sald-128-1m,File(sald-128-1k),30,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.0005525827407836914,0.00175,1.0
sald-128-1m,File(sald-128-1k),31,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.008959412574768066,0.000493,1.0
sald-128-1m,File(sald-128-1k),32,faiss_hnsw,0.95,"{""efSearch"": 128, ""index_params"": ""HNSW32""}",0.0011882305145263672,0.004052,1.0
sald-128-1m,File(sald-128-1k),33,faiss_hnsw,0.95,"{""efSearch"": 16384, ""index_params"": ""HNSW32""}",0.6262212991714478,0.198854,1.0
sald-128-1m,File(sald-128-1k),34,faiss_hnsw,0.95,"{""efSearch"": 4, ""index_params"": ""HNSW32""}",0.0019214630126953125,0.00026,1.0
sald-128-1m,File(sald-128-1k),35,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.00025818347930908205,0.000394,1.0
sald-128-1m,File(sald-128-1k),36,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.00883190631866455,0.00047,1.0
sald-128-1m,File(sald-128-1k),37,faiss_hnsw,0.95,"{""efSearch"": 256, ""index_params"": ""HNSW32""}",0.004450178146362305,0.00636,1.0
sald-128-1m,File(sald-128-1k),38,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.00821993350982666,0.001964,1.0
sald-128-1m,File(sald-128-1k),39,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.00025374889373779296,0.000288,1.0
sald-128-1m,File(sald-128-1k),40,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.00835869312286377,0.001934,1.0
sald-128-1m,File(sald-128-1k),41,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.009135818481445313,0.000395,1.0
sald-128-1m,File(sald-128-1k),42,faiss_hnsw,0.95,"{""efSearch"": 256, ""index_params"": ""HNSW32""}",0.007854032516479491,0.004599,1.0
sald-128-1m,File(sald-128-1k),43,faiss_hnsw,0.95,"{""efSearch"": 1, ""index_params"": ""HNSW32""}",0.010714077949523925,0.000126,1.0
