dataset,workload,query_index,index_name,index_params,time_s,distcomp,recall
sald-128-100m,File(sald-128-1k),0,messi,,,8.8e-06,1.0
sald-128-100m,File(sald-128-1k),1,messi,,,0.066958875,1.0
sald-128-100m,File(sald-128-1k),2,messi,,,0.0011053,1.0
sald-128-100m,File(sald-128-1k),3,messi,,,0.14761875,1.0
sald-128-100m,File(sald-128-1k),4,messi,,,0.000231875,1.0
sald-128-100m,File(sald-128-1k),5,messi,,,0.057762775,1.0
sald-128-100m,File(sald-128-1k),6,messi,,,1.035e-05,1.0
sald-128-100m,File(sald-128-1k),7,messi,,,0.2398368,1.0
sald-128-100m,File(sald-128-1k),8,messi,,,0.000893525,1.0
sald-128-100m,File(sald-128-1k),9,messi,,,0.4792508,1.0
sald-128-100m,File(sald-128-1k),10,messi,,,0.000103975,1.0
sald-128-100m,File(sald-128-1k),11,messi,,,0.0662934,1.0
sald-128-100m,File(sald-128-1k),12,messi,,,8.775e-06,1.0
sald-128-100m,File(sald-128-1k),13,messi,,,0.1978554,1.0
sald-128-100m,File(sald-128-1k),14,messi,,,0.0002777,1.0
sald-128-100m,File(sald-128-1k),15,messi,,,0.3623348,1.0
sald-128-100m,File(sald-128-1k),16,messi,,,0.000371025,1.0
sald-128-100m,File(sald-128-1k),17,messi,,,0.4071534,1.0
sald-128-100m,File(sald-128-1k),18,messi,,,6.525e-06,1.0
sald-128-100m,File(sald-128-1k),19,messi,,,0.1918602,1.0
sald-128-100m,File(sald-128-1k),20,messi,,,0.000819475,1.0
sald-128-100m,File(sald-128-1k),21,messi,,,0.03211185,1.0
sald-128-100m,File(sald-128-1k),22,messi,,,9.11e-05,1.0
sald-128-100m,File(sald-128-1k),23,messi,,,0.0584949,1.0
sald-128-100m,File(sald-128-1k),24,messi,,,1.485e-05,1.0
sald-128-100m,File(sald-128-1k),25,messi,,,0.05828535,1.0
sald-128-100m,File(sald-128-1k),26,messi,,,0.000578575,1.0
sald-128-100m,File(sald-128-1k),27,messi,,,0.001431175,1.0
sald-128-100m,File(sald-128-1k),28,messi,,,0.000139475,1.0
sald-128-100m,File(sald-128-1k),29,messi,,,0.082103375,1.0
sald-128-100m,File(sald-128-1k),30,messi,,,1.575e-06,1.0
sald-128-100m,File(sald-128-1k),31,messi,,,0.110844575,1.0
sald-128-100m,File(sald-128-1k),32,messi,,,1.44e-05,1.0
sald-128-100m,File(sald-128-1k),33,messi,,,0.064057275,1.0
sald-128-100m,File(sald-128-1k),34,messi,,,5.455e-05,1.0
sald-128-100m,File(sald-128-1k),35,messi,,,0.068931,1.0
sald-128-100m,File(sald-128-1k),36,messi,,,0.0002703,1.0
sald-128-100m,File(sald-128-1k),37,messi,,,0.0540447,1.0
sald-128-100m,File(sald-128-1k),38,messi,,,2.2725e-05,1.0
sald-128-100m,File(sald-128-1k),39,messi,,,0.4631014,1.0
sald-128-100m,File(sald-128-1k),40,messi,,,2.205e-05,1.0
sald-128-100m,File(sald-128-1k),41,messi,,,1.124332,1.0
sald-128-100m,File(sald-128-1k),42,messi,,,0.000186075,1.0
sald-128-100m,File(sald-128-1k),43,messi,,,0.8568834,1.0
sald-128-100m,File(sald-128-1k),44,messi,,,0.0006267,1.0
sald-128-100m,File(sald-128-1k),45,messi,,,0.063681675,1.0
sald-128-100m,File(sald-128-1k),46,messi,,,7.9225e-05,1.0
sald-128-100m,File(sald-128-1k),47,messi,,,0.259903,1.0
sald-128-100m,File(sald-128-1k),48,messi,,,5.715e-05,1.0
sald-128-100m,File(sald-128-1k),49,messi,,,0.1384217,1.0
sald-128-100m,File(sald-128-1k),50,messi,,,5.2725e-05,1.0
sald-128-100m,File(sald-128-1k),51,messi,,,0.062806775,1.0
sald-128-100m,File(sald-128-1k),52,messi,,,0.001509825,1.0
sald-128-100m,File(sald-128-1k),53,messi,,,0.0231227,1.0
sald-128-100m,File(sald-128-1k),54,messi,,,4.725e-06,1.0
sald-128-100m,File(sald-128-1k),55,messi,,,0.0956998,1.0
sald-128-100m,File(sald-128-1k),56,messi,,,0.003979125,1.0
sald-128-100m,File(sald-128-1k),57,messi,,,0.310729,1.0
sald-128-100m,File(sald-128-1k),58,messi,,,0.0003124,1.0
sald-128-100m,File(sald-128-1k),59,messi,,,0.134731675,1.0
sald-128-100m,File(sald-128-1k),60,messi,,,1.71e-05,1.0
sald-128-100m,File(sald-128-1k),61,messi,,,0.234671,1.0
sald-128-100m,File(sald-128-1k),62,messi,,,0.001321525,1.0
sald-128-100m,File(sald-128-1k),63,messi,,,0.02170705,1.0
sald-128-100m,File(sald-128-1k),64,messi,,,2.205e-05,1.0
sald-128-100m,File(sald-128-1k),65,messi,,,0.1614221,1.0
sald-128-100m,File(sald-128-1k),66,messi,,,8.775e-06,1.0
sald-128-100m,File(sald-128-1k),67,messi,,,1.1063688,1.0
sald-128-100m,File(sald-128-1k),68,messi,,,0.0022647,1.0
sald-128-100m,File(sald-128-1k),69,messi,,,0.02428315,1.0
sald-128-100m,File(sald-128-1k),70,messi,,,4.725e-05,1.0
sald-128-100m,File(sald-128-1k),71,messi,,,0.2132014,1.0
sald-128-100m,File(sald-128-1k),72,messi,,,0.00034905,1.0
sald-128-100m,File(sald-128-1k),73,messi,,,0.040129225,1.0
sald-128-100m,File(sald-128-1k),74,messi,,,4.725e-06,1.0
sald-128-100m,File(sald-128-1k),75,messi,,,0.198798275,1.0
sald-128-100m,File(sald-128-1k),76,messi,,,0.001597075,1.0
sald-128-100m,File(sald-128-1k),77,messi,,,0.192349525,1.0
sald-128-100m,File(sald-128-1k),78,messi,,,0.000177,1.0
sald-128-100m,File(sald-128-1k),79,messi,,,0.012301475,1.0
sald-128-100m,File(sald-128-1k),80,messi,,,1.1475e-05,1.0
sald-128-100m,File(sald-128-1k),81,messi,,,0.094965975,1.0
sald-128-100m,File(sald-128-1k),82,messi,,,0.002026675,1.0
sald-128-100m,File(sald-128-1k),83,messi,,,0.0674696,1.0
sald-128-100m,File(sald-128-1k),84,messi,,,0.001365325,1.0
sald-128-100m,File(sald-128-1k),85,messi,,,0.21472405,1.0
sald-128-100m,File(sald-128-1k),86,messi,,,0.0002862,1.0
sald-128-100m,File(sald-128-1k),87,messi,,,0.00280975,1.0
sald-128-100m,File(sald-128-1k),88,messi,,,0.0014965,1.0
sald-128-100m,File(sald-128-1k),89,messi,,,0.023020125,1.0
sald-128-100m,File(sald-128-1k),90,messi,,,0.0018901,1.0
sald-128-100m,File(sald-128-1k),91,messi,,,0.024857875,1.0
sald-128-100m,File(sald-128-1k),92,messi,,,0.0001364,1.0
sald-128-100m,File(sald-128-1k),93,messi,,,0.113845525,1.0
sald-128-100m,File(sald-128-1k),94,messi,,,0.000593525,1.0
sald-128-100m,File(sald-128-1k),95,messi,,,0.001900475,1.0
sald-128-100m,File(sald-128-1k),96,messi,,,0.003341025,1.0
sald-128-100m,File(sald-128-1k),97,messi,,,0.4148356,1.0
sald-128-100m,File(sald-128-1k),98,messi,,,0.000596175,1.0
