dataset,workload,query_index,index_name,index_params,time_s,distcomp,recall
sald-128-1m,File(sald-128-1k),0,messi,,,5.625e-06,1.0
sald-128-1m,File(sald-128-1k),1,messi,,,0.0792015,1.0
sald-128-1m,File(sald-128-1k),2,messi,,,0.00110525,1.0
sald-128-1m,File(sald-128-1k),3,messi,,,0.173907375,1.0
sald-128-1m,File(sald-128-1k),4,messi,,,0.0003455,1.0
sald-128-1m,File(sald-128-1k),5,messi,,,0.07293825,1.0
sald-128-1m,File(sald-128-1k),6,messi,,,1.2375e-05,1.0
sald-128-1m,File(sald-128-1k),7,messi,,,0.388215,1.0
sald-128-1m,File(sald-128-1k),8,messi,,,0.0009045,1.0
sald-128-1m,File(sald-128-1k),9,messi,,,0.52848,1.0
sald-128-1m,File(sald-128-1k),10,messi,,,0.000141125,1.0
sald-128-1m,File(sald-128-1k),11,messi,,,0.075357125,1.0
sald-128-1m,File(sald-128-1k),12,messi,,,6.75e-06,1.0
sald-128-1m,File(sald-128-1k),13,messi,,,0.351011,1.0
sald-128-1m,File(sald-128-1k),14,messi,,,0.0002655,1.0
sald-128-1m,File(sald-128-1k),15,messi,,,0.378402,1.0
sald-128-1m,File(sald-128-1k),16,messi,,,0.00035325,1.0
sald-128-1m,File(sald-128-1k),17,messi,,,0.463001,1.0
sald-128-1m,File(sald-128-1k),18,messi,,,6.75e-06,1.0
sald-128-1m,File(sald-128-1k),19,messi,,,0.25505,1.0
sald-128-1m,File(sald-128-1k),20,messi,,,0.001067,1.0
sald-128-1m,File(sald-128-1k),21,messi,,,0.04358225,1.0
sald-128-1m,File(sald-128-1k),22,messi,,,9.3375e-05,1.0
sald-128-1m,File(sald-128-1k),23,messi,,,0.07947075,1.0
sald-128-1m,File(sald-128-1k),24,messi,,,2.025e-05,1.0
sald-128-1m,File(sald-128-1k),25,messi,,,0.069841375,1.0
sald-128-1m,File(sald-128-1k),26,messi,,,0.00082075,1.0
sald-128-1m,File(sald-128-1k),27,messi,,,0.00227775,1.0
sald-128-1m,File(sald-128-1k),28,messi,,,0.000129375,1.0
sald-128-1m,File(sald-128-1k),29,messi,,,0.116104875,1.0
sald-128-1m,File(sald-128-1k),30,messi,,,1.125e-06,1.0
sald-128-1m,File(sald-128-1k),31,messi,,,0.161973375,1.0
sald-128-1m,File(sald-128-1k),32,messi,,,1.2375e-05,1.0
sald-128-1m,File(sald-128-1k),33,messi,,,0.099064375,1.0
sald-128-1m,File(sald-128-1k),34,messi,,,5.0625e-05,1.0
sald-128-1m,File(sald-128-1k),35,messi,,,0.084892625,1.0
sald-128-1m,File(sald-128-1k),36,messi,,,0.000285125,1.0
sald-128-1m,File(sald-128-1k),37,messi,,,0.059677875,1.0
sald-128-1m,File(sald-128-1k),38,messi,,,1.575e-05,1.0
sald-128-1m,File(sald-128-1k),39,messi,,,0.68317,1.0
sald-128-1m,File(sald-128-1k),40,messi,,,2.5875e-05,1.0
sald-128-1m,File(sald-128-1k),41,messi,,,1.12485,1.0
sald-128-1m,File(sald-128-1k),42,messi,,,0.000207,1.0
sald-128-1m,File(sald-128-1k),43,messi,,,0.973232,1.0
sald-128-1m,File(sald-128-1k),44,messi,,,0.00070675,1.0
sald-128-1m,File(sald-128-1k),45,messi,,,0.085663625,1.0
sald-128-1m,File(sald-128-1k),46,messi,,,8.4375e-05,1.0
sald-128-1m,File(sald-128-1k),47,messi,,,0.369577,1.0
sald-128-1m,File(sald-128-1k),48,messi,,,6.075e-05,1.0
sald-128-1m,File(sald-128-1k),49,messi,,,0.187242875,1.0
sald-128-1m,File(sald-128-1k),50,messi,,,4.725e-05,1.0
sald-128-1m,File(sald-128-1k),51,messi,,,0.108642125,1.0
sald-128-1m,File(sald-128-1k),52,messi,,,0.006462875,1.0
sald-128-1m,File(sald-128-1k),53,messi,,,0.031487375,1.0
sald-128-1m,File(sald-128-1k),54,messi,,,7.875e-06,1.0
sald-128-1m,File(sald-128-1k),55,messi,,,0.121434125,1.0
sald-128-1m,File(sald-128-1k),56,messi,,,0.0075015,1.0
sald-128-1m,File(sald-128-1k),57,messi,,,0.329178,1.0
sald-128-1m,File(sald-128-1k),58,messi,,,0.000319375,1.0
sald-128-1m,File(sald-128-1k),59,messi,,,0.158640625,1.0
sald-128-1m,File(sald-128-1k),60,messi,,,1.8e-05,1.0
sald-128-1m,File(sald-128-1k),61,messi,,,0.335735,1.0
sald-128-1m,File(sald-128-1k),62,messi,,,0.006006375,1.0
sald-128-1m,File(sald-128-1k),63,messi,,,0.026595375,1.0
sald-128-1m,File(sald-128-1k),64,messi,,,2.25e-05,1.0
sald-128-1m,File(sald-128-1k),65,messi,,,0.201694,1.0
sald-128-1m,File(sald-128-1k),66,messi,,,5.625e-06,1.0
sald-128-1m,File(sald-128-1k),67,messi,,,1.120806,1.0
sald-128-1m,File(sald-128-1k),68,messi,,,0.005985875,1.0
sald-128-1m,File(sald-128-1k),69,messi,,,0.041595625,1.0
sald-128-1m,File(sald-128-1k),70,messi,,,4.3875e-05,1.0
sald-128-1m,File(sald-128-1k),71,messi,,,0.275201,1.0
sald-128-1m,File(sald-128-1k),72,messi,,,0.000386125,1.0
sald-128-1m,File(sald-128-1k),73,messi,,,0.06398,1.0
sald-128-1m,File(sald-128-1k),74,messi,,,7.875e-06,1.0
sald-128-1m,File(sald-128-1k),75,messi,,,0.2542,1.0
sald-128-1m,File(sald-128-1k),76,messi,,,0.01824975,1.0
sald-128-1m,File(sald-128-1k),77,messi,,,0.193948625,1.0
sald-128-1m,File(sald-128-1k),78,messi,,,0.000277625,1.0
sald-128-1m,File(sald-128-1k),79,messi,,,0.018538125,1.0
sald-128-1m,File(sald-128-1k),80,messi,,,6.75e-06,1.0
sald-128-1m,File(sald-128-1k),81,messi,,,0.156246125,1.0
sald-128-1m,File(sald-128-1k),82,messi,,,0.002102,1.0
sald-128-1m,File(sald-128-1k),83,messi,,,0.068743,1.0
sald-128-1m,File(sald-128-1k),84,messi,,,0.0013495,1.0
sald-128-1m,File(sald-128-1k),85,messi,,,0.2233585,1.0
sald-128-1m,File(sald-128-1k),86,messi,,,0.000375375,1.0
sald-128-1m,File(sald-128-1k),87,messi,,,0.005417375,1.0
sald-128-1m,File(sald-128-1k),88,messi,,,0.010829375,1.0
sald-128-1m,File(sald-128-1k),89,messi,,,0.032234625,1.0
sald-128-1m,File(sald-128-1k),90,messi,,,0.01319575,1.0
sald-128-1m,File(sald-128-1k),91,messi,,,0.036485625,1.0
sald-128-1m,File(sald-128-1k),92,messi,,,0.000148875,1.0
sald-128-1m,File(sald-128-1k),93,messi,,,0.1230995,1.0
sald-128-1m,File(sald-128-1k),94,messi,,,0.0010115,1.0
sald-128-1m,File(sald-128-1k),95,messi,,,0.0023235,1.0
sald-128-1m,File(sald-128-1k),96,messi,,,0.014137875,1.0
sald-128-1m,File(sald-128-1k),97,messi,,,0.417145,1.0
sald-128-1m,File(sald-128-1k),98,messi,,,0.000637375,1.0
sald-128-1m,File(sald-128-1k),99,messi,,,0.210022625,1.0
sald-128-1m,File(sald-128-1k),100,messi,,,0.00076,1.0
sald-128-1m,File(sald-128-1k),101,messi,,,0.05317475,1.0
sald-128-1m,File(sald-128-1k),102,messi,,,0.000257875,1.0
sald-128-1m,File(sald-128-1k),103,messi,,,0.0216885,1.0
sald-128-1m,File(sald-128-1k),104,messi,,,0.000428625,1.0
sald-128-1m,File(sald-128-1k),105,messi,,,0.052703125,1.0
sald-128-1m,File(sald-128-1k),106,messi,,,0.000184875,1.0
sald-128-1m,File(sald-128-1k),107,messi,,,0.025727625,1.0
sald-128-1m,File(sald-128-1k),108,messi,,,8.675e-05,1.0
sald-128-1m,File(sald-128-1k),109,messi,,,0.06603225,1.0
sald-128-1m,File(sald-128-1k),110,messi,,,0.001281875,1.0
sald-128-1m,File(sald-128-1k),111,messi,,,0.117628125,1.0
sald-128-1m,File(sald-128-1k),112,messi,,,0.00272675,1.0
sald-128-1m,File(sald-128-1k),113,messi,,,0.005152625,1.0
sald-128-1m,File(sald-128-1k),114,messi,,,4.5e-06,1.0
sald-128-1m,File(sald-128-1k),115,messi,,,0.569284,1.0
sald-128-1m,File(sald-128-1k),116,messi,,,0.000153875,1.0
sald-128-1m,File(sald-128-1k),117,messi,,,0.014710375,1.0
sald-128-1m,File(sald-128-1k),118,messi,,,3.0375e-05,1.0
sald-128-1m,File(sald-128-1k),119,messi,,,0.03328125,1.0
sald-128-1m,File(sald-128-1k),120,messi,,,0.000413125,1.0
sald-128-1m,File(sald-128-1k),121,messi,,,0.1101165,1.0
sald-128-1m,File(sald-128-1k),122,messi,,,0.000162,1.0
sald-128-1m,File(sald-128-1k),123,messi,,,0.14174725,1.0
sald-128-1m,File(sald-128-1k),124,messi,,,0.000161,1.0
sald-128-1m,File(sald-128-1k),125,messi,,,0.1614775,1.0
sald-128-1m,File(sald-128-1k),126,messi,,,0.0009925,1.0
sald-128-1m,File(sald-128-1k),127,messi,,,0.004691,1.0
sald-128-1m,File(sald-128-1k),128,messi,,,0.000230625,1.0
sald-128-1m,File(sald-128-1k),129,messi,,,0.05473975,1.0
sald-128-1m,File(sald-128-1k),130,messi,,,1.8e-05,1.0
sald-128-1m,File(sald-128-1k),131,messi,,,0.239951,1.0
sald-128-1m,File(sald-128-1k),132,messi,,,0.000427625,1.0
sald-128-1m,File(sald-128-1k),133,messi,,,0.03724125,1.0
sald-128-1m,File(sald-128-1k),134,messi,,,0.000609125,1.0
sald-128-1m,File(sald-128-1k),135,messi,,,0.109121375,1.0
sald-128-1m,File(sald-128-1k),136,messi,,,0.002006,1.0
sald-128-1m,File(sald-128-1k),137,messi,,,0.116802,1.0
sald-128-1m,File(sald-128-1k),138,messi,,,0.000780625,1.0
sald-128-1m,File(sald-128-1k),139,messi,,,0.068109,1.0
sald-128-1m,File(sald-128-1k),140,messi,,,0.000231125,1.0
sald-128-1m,File(sald-128-1k),141,messi,,,0.061392375,1.0
sald-128-1m,File(sald-128-1k),142,messi,,,0.001956625,1.0
sald-128-1m,File(sald-128-1k),143,messi,,,0.0373515,1.0
sald-128-1m,File(sald-128-1k),144,messi,,,3.6e-05,1.0
sald-128-1m,File(sald-128-1k),145,messi,,,0.176612375,1.0
sald-128-1m,File(sald-128-1k),146,messi,,,0.00036175,1.0
sald-128-1m,File(sald-128-1k),147,messi,,,0.02709,1.0
sald-128-1m,File(sald-128-1k),148,messi,,,4.3875e-05,1.0
sald-128-1m,File(sald-128-1k),149,messi,,,0.201392,1.0
sald-128-1m,File(sald-128-1k),150,messi,,,0.00020925,1.0
sald-128-1m,File(sald-128-1k),151,messi,,,0.187252375,1.0
sald-128-1m,File(sald-128-1k),152,messi,,,2.25e-06,1.0
sald-128-1m,File(sald-128-1k),153,messi,,,0.359383,1.0
sald-128-1m,File(sald-128-1k),154,messi,,,0.0006745,1.0
sald-128-1m,File(sald-128-1k),155,messi,,,0.00509825,1.0
sald-128-1m,File(sald-128-1k),156,messi,,,0.000243375,1.0
sald-128-1m,File(sald-128-1k),157,messi,,,0.15191375,1.0
sald-128-1m,File(sald-128-1k),158,messi,,,7.65e-05,1.0
sald-128-1m,File(sald-128-1k),159,messi,,,0.944054,1.0
sald-128-1m,File(sald-128-1k),160,messi,,,0.01818275,1.0
sald-128-1m,File(sald-128-1k),161,messi,,,0.179821375,1.0
sald-128-1m,File(sald-128-1k),162,messi,,,0.008406,1.0
sald-128-1m,File(sald-128-1k),163,messi,,,0.038807875,1.0
sald-128-1m,File(sald-128-1k),164,messi,,,0.00102175,1.0
sald-128-1m,File(sald-128-1k),165,messi,,,0.021945,1.0
sald-128-1m,File(sald-128-1k),166,messi,,,0.00064275,1.0
sald-128-1m,File(sald-128-1k),167,messi,,,0.001999125,1.0
sald-128-1m,File(sald-128-1k),168,messi,,,0.00028,1.0
sald-128-1m,File(sald-128-1k),169,messi,,,0.0634635,1.0
sald-128-1m,File(sald-128-1k),170,messi,,,0.000181125,1.0
sald-128-1m,File(sald-128-1k),171,messi,,,0.986846,1.0
sald-128-1m,File(sald-128-1k),172,messi,,,0.0013235,1.0
sald-128-1m,File(sald-128-1k),173,messi,,,0.07882625,1.0
sald-128-1m,File(sald-128-1k),174,messi,,,0.000651875,1.0
sald-128-1m,File(sald-128-1k),175,messi,,,0.07696975,1.0
sald-128-1m,File(sald-128-1k),176,messi,,,5.625e-06,1.0
sald-128-1m,File(sald-128-1k),177,messi,,,0.334509,1.0
sald-128-1m,File(sald-128-1k),178,messi,,,0.000231375,1.0
sald-128-1m,File(sald-128-1k),179,messi,,,0.041643125,1.0
sald-128-1m,File(sald-128-1k),180,messi,,,2.25e-06,1.0
sald-128-1m,File(sald-128-1k),181,messi,,,0.145626875,1.0
sald-128-1m,File(sald-128-1k),182,messi,,,9e-06,1.0
sald-128-1m,File(sald-128-1k),183,messi,,,0.254335,1.0
sald-128-1m,File(sald-128-1k),184,messi,,,0.017315375,1.0
sald-128-1m,File(sald-128-1k),185,messi,,,0.166772125,1.0
sald-128-1m,File(sald-128-1k),186,messi,,,0.000112625,1.0
sald-128-1m,File(sald-128-1k),187,messi,,,0.225215,1.0
sald-128-1m,File(sald-128-1k),188,messi,,,7.875e-06,1.0
sald-128-1m,File(sald-128-1k),189,messi,,,0.572213,1.0
sald-128-1m,File(sald-128-1k),190,messi,,,5.5125e-05,1.0
sald-128-1m,File(sald-128-1k),191,messi,,,0.111490375,1.0
sald-128-1m,File(sald-128-1k),192,messi,,,0.00164575,1.0
sald-128-1m,File(sald-128-1k),193,messi,,,0.048685875,1.0
sald-128-1m,File(sald-128-1k),194,messi,,,4.725e-05,1.0
sald-128-1m,File(sald-128-1k),195,messi,,,0.291576,1.0
sald-128-1m,File(sald-128-1k),196,messi,,,2.475e-05,1.0
sald-128-1m,File(sald-128-1k),197,messi,,,0.229405,1.0
sald-128-1m,File(sald-128-1k),198,messi,,,4.6125e-05,1.0
sald-128-1m,File(sald-128-1k),199,messi,,,0.995692,1.0
sald-128-1m,File(sald-128-1k),200,messi,,,0.000444375,1.0
sald-128-1m,File(sald-128-1k),201,messi,,,0.15982825,1.0
sald-128-1m,File(sald-128-1k),202,messi,,,5.625e-06,1.0
sald-128-1m,File(sald-128-1k),203,messi,,,0.1785145,1.0
sald-128-1m,File(sald-128-1k),204,messi,,,0.009441,1.0
sald-128-1m,File(sald-128-1k),205,messi,,,0.030929,1.0
sald-128-1m,File(sald-128-1k),206,messi,,,0.000109375,1.0
sald-128-1m,File(sald-128-1k),207,messi,,,0.04709125,1.0
sald-128-1m,File(sald-128-1k),208,messi,,,2.7e-05,1.0
sald-128-1m,File(sald-128-1k),209,messi,,,0.1316415,1.0
sald-128-1m,File(sald-128-1k),210,messi,,,0.000613,1.0
sald-128-1m,File(sald-128-1k),211,messi,,,0.061639,1.0
sald-128-1m,File(sald-128-1k),212,messi,,,4.1625e-05,1.0
sald-128-1m,File(sald-128-1k),213,messi,,,0.27127,1.0
sald-128-1m,File(sald-128-1k),214,messi,,,3.0375e-05,1.0
sald-128-1m,File(sald-128-1k),215,messi,,,0.142158,1.0
sald-128-1m,File(sald-128-1k),216,messi,,,0.0001025,1.0
